sr_fecha (Día);sr_plaza;Cod Enlaza;sr_remitente;sr_ps;sr_ori;sr_des;Total Palets ;Facturación€;Coste€
02/01/2026;089;089000319;"MIIN COSMETICS, S.L.";02;089;391;1;84;1
02/01/2026;089;089000321;"THE BRAND COMPANY, S.L";01;089;461;1;46;1
02/01/2026;089;089000326;"PALACIOS BCN COLOR, SLU";01;089;283;1;91;1
02/01/2026;089;089000350;"PUBLIREM, S.L.";01;089;451;2;113;2
02/01/2026;089;089000360;LA ESPECEIALISTA CORNELLA;02;089;181;1;65;1
02/01/2026;089;089000360;LA ESPECIALISTA COSLADA;01;089;291;1;56;1
02/01/2026;089;089000390;EFICO PACORINI BARCELONA;02;089;461;2;98;2
02/01/2026;089;089000398;"UNOIDAM SERVICIOS, S.L.";02;089;181;1;77;1
02/01/2026;089;089000409;BADALONA PAC;01;089;031;1;87;1
02/01/2026;089;089000412;CINTAPE 2024 S.L.;02;089;501;1;36;1
02/01/2026;089;089000412;CINTAPE 2024 S.L.;02;089;502;1;36;1
02/01/2026;089;089000412;MIRÓ ELECTRODOMÈSTICS;02;089;461;4;124;4
02/01/2026;089;089000416;"VINOS I. Mª CRUSAT, SA";02;089;501;1;42;1
02/01/2026;089;089000421;NOATUM LOGISTICS;01;089;089;1;41;1
02/01/2026;089;089000429;"MUN FERMENTS, S.L.";02;089;089;2;70;2
02/01/2026;089;089000429;"MUN FERMENTS, S.L.";02;089;181;1;34;1
02/01/2026;089;089000429;"MUN FERMENTS, S.L.";02;089;221;1;31;1
02/01/2026;089;089000446;"LA BOTIGA DEL REGAL, S.L.";02;089;411;3;258;3
02/01/2026;089;089000447;"MARKET CASTELLAR, S.L.";02;089;031;1;53;1
02/01/2026;089;089000447;"MARKET CASTELLAR, S.L.";02;089;283;2;92;2
02/01/2026;089;089000447;"MARKET CASTELLAR, S.L.";02;089;461;1;26;1
02/01/2026;129;461050044;461050044 KERABEN;02;129;283;2;110,57;97,66
02/01/2026;129;461050044;461050044 MUERDE LA PASTA SL C.C MATARO PARC;01;089;501;1;92,56;58,49
02/01/2026;129;461050067;461050067 BECRISA SL;01;129;031;1;45;54,16
02/01/2026;129;461050067;461050067 BECRISA SL;01;129;283;2;99,7;107,8
02/01/2026;129;461050067;461050067 BECRISA SL;01;129;328;2;149,8;173,98
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;031;1;42,2;51,46
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;032;1;35,4;42,07
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;099;6;334,2;409,23
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;159;1;51,2;59,05
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;241;1;55,7;69,86
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;283;1;42;43,43
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;461;3;72;110,47
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;471;2;108,2;129,08
02/01/2026;129;461050067;461050067 BECRISA SL;02;129;50E;2;112,6;122,36
02/01/2026;129;461050067;461050067 BECRISA SL;17;129;129;2;50;89,8
02/01/2026;129;461050068;461050068 LEÑAS OLIVER SL (GGSS);02;129;031;1;56,29;60,25
02/01/2026;129;461050070;"461050070 VIVES AZULEJOS Y GRES, S.A.";02;129;271;1;48,27;48,21
02/01/2026;129;461050070;"461050070 VIVES AZULEJOS Y GRES, S.A.";02;129;283;1;36,66;27,97
02/01/2026;129;461050073;461050073 TTES. SAN MARTI (ONDA);01;129;31E;2;171,28;169,52
02/01/2026;129;461050073;461050073 UBE;01;129;471;2;171,56;179,18
02/01/2026;129;461050080;461050080 ALMACEN VLC;02;129;331;2;230,27;196,42
02/01/2026;129;461050081;461050081 IRIS CERAMICA;02;129;089;2;137,7;120,1
02/01/2026;129;461050090;461050090 ECOCERAMIC;02;129;149;1;71,88;54,25
02/01/2026;129;461050095;461050095 GRUPO DE INTERIORES GTH SL;01;283;271;1;67,47;57,97
02/01/2026;129;461050127;461050127 NEOCERAMICA S.A.;02;129;181;2;162,35;152,26
02/01/2026;129;461050152;"461050152 ARTEGRES,S.L.";01;129;491;1;117,29;102,19
02/01/2026;129;461050152;"461050152 ARTEGRES,S.L.";02;129;172;1;78,3;61,18
02/01/2026;129;461050166;461050166 MATERIA DECOR;02;129;291;2;278,7;112,19
02/01/2026;129;461050175;461050175 BESTILE 4;01;129;192;1;65,35;53,03
02/01/2026;129;461050183;461050183 TRANSPORTES JOSE MARIA IBAÑEZ SL;02;129;211;8;855,92;731,68
02/01/2026;283;283001146;283001146 JABONES PARDO;02;283;471;1;40,95;40,64
02/01/2026;283;283001147;283001147 MOIMI ARCADE;01;283;241;1;78;47,91
02/01/2026;283;283001147;283001147 MOIMI ARCADE;01;283;251;1;84,36;55,69
02/01/2026;283;283001147;283001147 MOIMI ARCADE;01;283;291;1;86,57;57,11
02/01/2026;283;283001147;283001147 MOIMI ARCADE;01;283;292;1;86,57;50,82
02/01/2026;283;283001151;283001151 GRUPO OM COMUNICACION VISUAL SLU;01;283;291;1;48,1;33,52
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;159;3;162,15;163,11
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;201;1;50,79;49,81
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;211;1;53,89;55,17
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;363;2;108,1;108,74
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;411;1;49,82;47,9
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;471;1;44,47;41,09
02/01/2026;283;283001193;283001193 ENVASES PARA PROFESIONALES SL;01;283;482;3;151,68;148,17
02/01/2026;283;283001241;283001241 PLUS IBERICA DISTRIBUCIÓN SL;02;283;271;1;72,18;46,54
02/01/2026;283;283001294;283001294 ENERYETI COMPANY S.L.;01;283;50E;3;142,56;204
02/01/2026;283;283001309;283001309 HK ONEWAY INFORMATION TECHNOLOGY;01;283;411;12;0;0
02/01/2026;283;283001346;283001346 PUNTOQPACKAGING SL;01;283;089;1;57,17;47,78
02/01/2026;283;283001346;283001346 PUNTOQPACKAGING SL;01;283;152;1;66,93;56,31
02/01/2026;283;283001346;283001346 PUNTOQPACKAGING SL;01;283;482;2;125,32;102,06
02/01/2026;283;283001346;283001346 PUNTOQPACKAGING SL;17;283;283;6;246,48;130,45
02/01/2026;283;283001346;283001346 XURRERIA LA FLORESTA DEL CENTRE;01;089;283;1;77,14;47,78
02/01/2026;283;283001476;283001476 DSM FIRMENICH;01;283;062;2;229,17;163,78
02/01/2026;283;283001510;"283001510 360 MOBILE,S.L";01;283;301;7;514,28;319,9
02/01/2026;283;283001510;"283001510 360 MOBILE,S.L";01;283;482;1;76,5;51,33
02/01/2026;283;283001510;"283001510 360 MOBILE,S.L";17;283;283;1;50,59;23,26
02/01/2026;283;283001521;283001521 CENTRO LOGISTICO 3;01;128;292;1;0;0
02/01/2026;283;283001521;283001521 MATERIALES CERAMICOS TORRES;02;283;119;1;80,41;66,56
02/01/2026;283;283001569;283001569 HOME TECH ACCESSORIES S.L.;02;283;301;1;57,96;47,02
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;029;2;94,5;88,58
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;089;2;94,5;87,12
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;152;2;94,5;98,16
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;179;1;47,25;54,24
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;251;1;47,25;48,56
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;291;2;94,5;93,4
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;331;6;283,5;271,44
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;361;2;94,5;98,16
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;391;2;94,5;89,86
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;411;1;47,25;45,72
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;439;2;94,5;90,9
02/01/2026;283;283001580;283001580 BUEN  AMIGO PET SHOP S.L;02;283;482;1;47,25;44,93
02/01/2026;283;283001584;"283001584 YONHOO EUROPA, S.L.";02;283;311;1;69,45;43,84
02/01/2026;283;283001584;"283001584 YONHOO EUROPA, S.L.";02;283;391;2;358,04;100,16
02/01/2026;283;283001584;"283001584 YONHOO EUROPA, S.L.";02;283;482;1;77,93;54,99
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;041;1;47,25;54,48
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;062;1;47,25;47,11
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;159;4;219;219,81
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;231;1;47,25;45,14
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;301;1;47,25;45,08
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;331;3;141,75;135,72
02/01/2026;283;283001588;"283001588 I-PET 1995,S.L.U.";02;283;50E;1;47,25;40,83
02/01/2026;283;283001591;283001591 ADITIA SOLUCIONES TECNICAS S. L.;01;283;041;1;99,16;87,2
02/01/2026;283;283001591;283001591 ADITIA SOLUCIONES TECNICAS S. L.;01;283;128;4;332,6;275,12
02/01/2026;283;283001591;283001591 ADITIA SOLUCIONES TECNICAS S. L.;01;283;192;1;61,78;62,1
02/01/2026;283;283001593;283001593 ANDEL AUTOMOCIN S.A.. MALAGA;02;291;283;1;50,64;46,7
02/01/2026;283;283001593;283001593 SALINERA ESPAÑOLA;02;283;291;1;76,03;70,18
02/01/2026;283;283001594;283001594 VELAS Y AROMAS S.L.;02;283;089;1;31,96;23,6
02/01/2026;283;283001599;283001599 TECNICA AGROPECUARIAS C.B.;01;451;283;1;78,72;65,2
02/01/2026;283;283001599;283001599 TECNICA AGROPECUARIAS C.B.;02;283;131;1;62,52;73,26
02/01/2026;461;461000512;461000512 INFORTISA S.L.;01;461;159;1;74,46;55,65
02/01/2026;461;461000512;461000512 INFORTISA S.L.;01;461;211;1;48,01;37,45
02/01/2026;461;461000512;461000512 INFORTISA S.L.;01;461;283;2;93,43;61,96
02/01/2026;461;461000512;461000512 INFORTISA S.L.;01;461;301;3;167,34;114,03
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;059;1;51,46;36,04
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;089;3;155,94;107,82
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;128;3;145,62;100,65
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;179;3;155,3;109,11
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;181;2;155,65;59,83
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;283;3;163,92;113,88
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;301;4;208,8;140
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";01;461;331;3;218,58;169,95
02/01/2026;461;461000512;"461000512 INFORTISA, S.L.";17;461;461;1;36,04;20,56
02/01/2026;461;461000539;"461000539 VIUDA DE JOSE MARIA ROS BAIXAULI, S.L.";02;461;292;1;100,75;80,87
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;089;12;810,4;581,57
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;119;3;239,51;177,42
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;179;2;167,74;138,9
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;292;4;385,24;304,68
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;482;1;97,46;73,4
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;492;1;76,79;61,53
02/01/2026;461;461000562;"461000562 GME DIVISION BAÑOS, S.L.";01;461;701;19;1920,77;1781,13
02/01/2026;461;461000565;"461000565 DECORA TROPIC, S.L.U.";02;461;031;2;91,08;62,62
02/01/2026;461;461000565;"461000565 DECORA TROPIC, S.L.U.";17;461;461;2;77,12;61,22
02/01/2026;461;461000568;461000568 HUHTAMAKI;01;461;283;2;87;70,34
02/01/2026;461;461000574;461000574 HEMP TRADING SLU;01;461;411;1;75,22;58,11
02/01/2026;461;461000604;461000604 ELEMA S.L.;02;461;412;1;64,77;49,24
02/01/2026;461;461000644;461000644 BERLIN PACKAGING RIBARROJA;02;461;702;1;91,22;75,36
02/01/2026;461;461000659;461000659 ILOT INTERIORS S.L.;02;461;412;1;64,6;49,24
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;031;3;163,43;129,88
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;089;3;190,8;127,34
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;119;1;45,54;37,45
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;283;1;50,36;37,96
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;291;1;107,13;86,37
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;292;3;187,77;156,27
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;411;2;99,58;79,98
02/01/2026;461;461000663;"461000663 S. COLOMER CASAS, S.L.";01;461;50E;1;69,87;50,33
02/01/2026;461;461000691;"461000691 GUEROLA, S.A.";02;461;181;2;157,7;145,56
02/01/2026;461;461000691;"461000691 GUEROLA, S.A.";02;461;211;4;355,24;331,2
02/01/2026;461;461000693;461000693 AMADO SALVADOR SAU;02;461;128;1;40,43;29,58
02/01/2026;461;461000693;461000693 AMADO SALVADOR SAU;02;461;192;1;82,86;72,88
02/01/2026;461;461000693;461000693 AMADO SALVADOR SAU;02;461;22E;1;53,8;51,47
02/01/2026;461;461000693;461000693 AMADO SALVADOR SAU;02;461;331;1;71,49;58,41
02/01/2026;461;461000693;461000693 AMADO SALVADOR SAU;02;461;363;1;198,8;62,88
02/01/2026;461;461000694;461000694 WASSY HIMALAYA S.L;02;461;128;1;48,42;38,51
02/01/2026;461;461000745;"461000745 ENTIDAD MAYA, S.L.";02;461;128;1;36,35;35,23
02/01/2026;461;461000745;"461000745 ENTIDAD MAYA, S.L.";02;461;283;4;132,4;142,08
02/01/2026;461;461000745;"461000745 ENTIDAD MAYA, S.L.";02;461;292;1;48,23;52,38
02/01/2026;461;461000745;"461000745 ENTIDAD MAYA, S.L.";02;461;412;2;96,2;97,88
02/01/2026;461;461000745;"461000745 ENTIDAD MAYA, S.L.";02;461;50E;1;37,68;43,4
02/01/2026;461;461000745;"461000745 ENTIDAD MAYA, S.L.";02;461;701;1;89,98;80,79
02/01/2026;461;461000764;"461000764 SILLA COMERCIAL VETERINARIA, S.L.";17;461;461;2;106,12;0
02/01/2026;461;461000780;"461000780 DRYCER, S.A";02;461;128;1;45,19;35,23
02/01/2026;461;461000815;461000815 FRITO DEJAN QUI EL 05/01;01;461;089;4;190,64;96,28
02/01/2026;461;461000815;461000815 FRITOPER S.L.;01;461;391;1;67,27;50,51
02/01/2026;461;461000815;461000815 FRITOPER S.L. (MICRO);02;461;179;3;167,79;111,6
02/01/2026;461;461000815;461000815 FRITOPER S.L. (MICRO);02;461;283;2;93,28;55,86
02/01/2026;461;461000815;461000815 FRITOPER S.L. (MICRO);02;461;391;5;309,45;218,75
02/01/2026;461;461000815;461000815 FRITOPER S.L. (MICRO);02;461;471;3;167,79;115,2
02/01/2026;461;461000815;461000815 FRITOPER S.L. (MICRO);02;461;50E;1;55,93;35,66
02/01/2026;461;461000874;461000874 VITALITY GESF S.L.;02;461;411;1;61,54;41,86
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;031;4;204,8;144,76
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;073;1;114,78;97,99
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;089;2;132,8;75,92
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;159;1;80,75;63,23
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;181;1;72,99;49,84
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;231;2;155,42;116,52
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;283;3;173,44;99,32
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;291;1;72,99;54,56
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;391;1;76,25;58,25
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;439;1;62,5;39,46
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;482;1;76,25;52,12
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;01;461;702;5;586,85;394,67
02/01/2026;461;461000904;461000904 PRISMICA SL - EFECTOLED;17;461;461;4;138,74;98,78
02/01/2026;461;461000994;461000994 MERCADONA 1003;01;501;461;1;72,4;54,83
02/01/2026;461;461000994;461000994 MERCADONA 1011;01;241;461;1;57,05;40,4
02/01/2026;461;461000994;461000994 MERCADONA 1040;01;089;461;1;54,45;42,01
02/01/2026;461;461000994;461000994 MERCADONA 2545;05;128;461;1;47,78;35,71
02/01/2026;461;461000994;461000994 MERCADONA 2831;01;283;283;1;57,62;0
02/01/2026;461;461000994;461000994 MERCADONA 3102;01;261;461;1;77,69;59,03
02/01/2026;461;461000994;461000994 MERCADONA 3438;01;283;461;1;54,45;42,01
02/01/2026;461;461000994;461000994 MERCADONA 3887;01;181;291;1;93,78;0
02/01/2026;461;461000994;461000994 MERCADONA 3895;01;089;461;1;49,38;37,96
02/01/2026;461;461000994;461000994 MERCADONA 3901;01;283;283;1;57,62;0
02/01/2026;461;461000994;461000994 MERCADONA 4094;01;089;461;1;54,45;42,01
02/01/2026;461;461000994;461000994 MERCADONA 4246;01;439;089;1;74,38;0
02/01/2026;461;461000994;461000994 MERCADONA 4519;01;072;461;1;182,64;145,86
02/01/2026;461;461000994;461000994 MERCADONA 709;01;701;461;1;118,5;93,91
02/01/2026;461;461000994;461000994 SERMICRO;01;283;461;1;54,45;42,01
02/01/2026;461;461001049;461001049 CLEAN UP SOLUTIONS IBERIA SL;02;461;283;1;34,7;35,67
02/01/2026;461;461001049;461001049 CLEAN UP SOLUTIONS IBERIA SL;17;461;461;1;25,55;28,58
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;01;461;01E;2;153,77;117,74
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;01;461;152;1;94,63;80,08
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;01;461;482;2;135,66;107,52
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;02;461;087;1;54,8;37,61
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;02;461;152;1;76,27;65,18
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;02;461;301;3;171,74;135,09
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;02;461;411;5;354,34;288,49
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;02;461;451;6;351,12;278,54
02/01/2026;461;461001102;461001102 LABORATORIOS JG S.L;02;461;611;1;155,88;123,99
02/01/2026;461;461001102;461001102 NEUM - ALGA;01;283;461;8;457,66;308,12
02/01/2026;461;461001107;461001107 SELECCION XXI LOGISTIC SL;17;461;461;1;49,74;0
02/01/2026;461;461001124;461001124 MARCHANTIA 2020 S.L;01;461;181;1;74,38;72,16
02/01/2026;461;461001124;461001124 MARCHANTIA 2020 S.L;02;461;031;1;49,41;42,25
02/01/2026;461;461001124;461001124 MARCHANTIA 2020 S.L;02;461;302;1;60,76;55,75
02/01/2026;461;461001133;461001133 GLS - POWER ELECTRONIC MANZANARES;01;131;461;5;348,75;265,3
02/01/2026;461;461001156;461001156 UTISTIL S.L;01;461;089;1;76,06;44,31
02/01/2026;461;461001156;461001156 UTISTIL S.L (BLUESPACE);01;089;461;1;69,12;39,9
02/01/2026;461;461001166;461001166 DEV 1 CJ ROTURA EXPED:555570328621;01;089;461;1;62,31;36,02
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;041;1;72,45;74,86
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;089;7;334,08;269,56
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;149;2;128,04;135
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;283;6;285,6;246,35
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;291;6;379,33;384,8
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;391;5;312,24;286,44
02/01/2026;461;461001166;461001166 NOATUM LOGISTICS;01;461;482;1;79,29;78,64
02/01/2026;461;461001205;461001205 CARLOTA FOODS S.L.;02;461;301;1;51,65;37,97
02/01/2026;461;461001205;461001205 CARLOTA FOODS S.L.;02;461;411;1;67,71;58,03
02/01/2026;461;461001205;461001205 CARLOTA FOODS S.L.;17;461;461;2;71,45;61,19
02/01/2026;461;461001205;461001205 DEVOLUCION EXPED: 555570339217;01;411;461;1;52,87;45,11
02/01/2026;461;461001205;461001205 DEVOLUCION EXPED:555570339215;01;192;461;1;42,03;29,74
02/01/2026;461;461001223;461001223 EURO BUSSINESS 7 IMPORT EXPORT S.L;01;461;031;2;80,56;72,38
02/01/2026;461;461001223;461001223 EURO BUSSINESS 7 IMPORT EXPORT S.L;01;461;089;1;48;37,96
02/01/2026;461;461001223;461001223 EURO BUSSINESS 7 IMPORT EXPORT S.L;01;461;128;1;41,92;33,55
02/01/2026;461;461001223;461001223 EURO BUSSINESS 7 IMPORT EXPORT S.L;01;461;292;2;106,48;108,52
02/01/2026;461;461001223;461001223 EURO BUSSINESS 7 IMPORT EXPORT S.L;17;461;461;7;190,81;169,44
02/01/2026;461;461001226;461001226 BRINES ORGANIC FRUITS SLU;01;461;201;1;89,22;79,79
02/01/2026;461;461001237;461001237 PICDA SL;02;461;099;1;58,32;51,19
02/01/2026;461;461001237;461001237 PICDA SL;02;461;181;1;66,52;67,8
02/01/2026;461;461001237;461001237 PICDA SL;02;461;26E;1;63,42;47,14
02/01/2026;461;461001237;461001237 PICDA SL;02;461;283;5;273,05;229,2
02/01/2026;461;461001237;461001237 PICDA SL;02;461;291;1;72,09;74,88
02/01/2026;461;461001237;461001237 PICDA SL;02;461;292;2;100,46;87,46
02/01/2026;461;461001237;461001237 PICDA SL;02;461;301;1;41,93;32,78
02/01/2026;461;461001237;461001237 PICDA SL;02;461;352;2;196,84;183,34
02/01/2026;461;461001237;461001237 PICDA SL;02;461;411;2;131,54;121,16
02/01/2026;461;461001237;461001237 PICDA SL;02;461;451;4;224,8;197,62
02/01/2026;461;461001237;461001237 PICDA SL;02;461;50E;1;66,6;63,44
02/01/2026;461;461001237;461001237 PICDA SL;02;461;701;3;289,26;241,77
02/01/2026;461;461001237;461001237 PICDA SL;02;461;702;1;91,98;83,75
02/01/2026;461;461001270;461001270 TRATAMIENTO INTEGRAL DEL AGUA;02;461;031;1;36,89;24,84
